name,price,change,high_low,volume,marketcap
STEP/USDT,0.02238/ 0.0224 USD,-16.21 %,0.03279/0.01652,"872,111.54794 USDT",
FIL/USDT,17.5700/ 17.57 USD,-1.51 %,18.0000/17.0091,"859,666.5736 USDT",
SG/USDT,0.1937/ 0.194 USD,6.66 %,0.2117/0.1704,"813,021.6404 USDT",
IHC/USDT,0.00028006/ 0.000280 USD,-3.41 %,0.00031612/0.00027604,"793,208.14730644 USDT",
BNT/USDT,2.131999/ 2.13 USD,0.42 %,2.154001/2.055000,"787,787.622633 USDT",
CAKE/USDT,7.5270/ 7.53 USD,-2.15 %,7.8440/7.3650,"784,197.6807 USDT",
MVP/USDT,0.02031/ 0.0203 USD,1.75 %,0.02049/0.01920,"783,500.16110 USDT",
AR/USDT,26.3900/ 26.39 USD,4.85 %,28.2000/24.8100,"780,339.7684 USDT",
ILV/USDT,482.60/ 482.62 USD,-2.52 %,495.30/466.10,"742,971.10 USDT",
OKB/USDT,19.6031/ 19.6 USD,-0.51 %,19.9000/19.2340,"717,577.1383 USDT",
FTB/USDT,0.05892/ 0.0589 USD,0.24 %,0.05919/0.05874,"691,620.96502 USDT",
VOLT/USDT,0.0000028539/ 0.000003 USD,0.13 %,0.0000031500/0.0000023732,"688,471.2375972760 USDT",
NEOM/USDT,24.86131392/ 24.86 USD,-0.54 %,25.02999979/24.69127608,"654,844.11479464 USDT",
GSX/USDT,0.0218/ 0.0218 USD,-5.22 %,0.0234/0.0214,"644,234.7017 USDT",
10SET/USDT,2.432/ 2.43 USD,-2.95 %,2.506/2.418,"627,674.645 USDT",
RISE/USDT,0.00100924/ 0.00101 USD,-5.41 %,0.00114912/0.00092400,"626,652.60826562 USDT",
CULT/USDT,0.00001792/ 0.000018 USD,-3.76 %,0.00002149/0.00001778,"624,890.17750154 USDT",
FTT/USDT,39.3000/ 39.3 USD,-1.11 %,39.8300/38.3835,"612,214.5062 USDT",
ETC/USDT,30.8800/ 30.87 USD,-1.50 %,31.6600/29.9658,"609,059.9786 USDT",
HT/USDT,9.3376/ 9.34 USD,1.53 %,9.3672/9.0708,"605,155.6957 USDT",
ALPINE/USDT,5.7709/ 5.77 USD,5.56 %,6.2938/5.2072,"594,090.0507 USDT",
NEO/USDT,18.790/ 18.79 USD,-1.16 %,19.190/18.310,"591,730.432 USDT",
C98/USDT,1.292/ 1.29 USD,-3.44 %,1.348/1.272,"566,487.766 USDT",
YGG/USDT,1.7481/ 1.75 USD,0.70 %,1.7920/1.6579,"560,103.5712 USDT",
RTC/USDT,0.003120/ 0.00312 USD,2.13 %,0.003130/0.002601,"540,540.876756 USDT",
XLM/USDT,0.18418158/ 0.184 USD,1.37 %,0.18670000/0.17778222,"533,609.58086332 USDT",
CMCX/USDT,0.014060/ 0.0141 USD,0.01 %,0.014185/0.014051,"527,781.621005 USDT",
CELR/USDT,0.042580/ 0.0426 USD,0.07 %,0.043900/0.040912,"525,097.444815 USDT",
DEP/USDT,0.0214/ 0.0214 USD,-0.93 %,0.0222/0.0207,"522,600.2120 USDT",
THETA/USDT,2.7680/ 2.77 USD,-0.68 %,2.8430/2.6790,"512,693.5213 USDT",
ROCKI/USDT,0.102697/ 0.103 USD,0.42 %,0.104309/0.099508,"510,591.208660 USDT",
SKEY/USDT,0.032755/ 0.0328 USD,0.57 %,0.032904/0.031685,"503,821.283844 USDT",
SWARM/USDT,0.0003703/ 0.000370 USD,-0.32 %,0.0003732/0.0003686,"503,567.4136838 USDT",
ELU/USDT,0.138000/ 0.138 USD,34.19 %,0.162924/0.089772,"500,392.747952 USDT",
MESA/USDT,0.02706/ 0.0271 USD,-23.36 %,0.03690/0.02353,"499,811.59832 USDT",
WAVES/USDT,15.8600/ 15.86 USD,1.47 %,16.8500/14.8000,"488,483.1171 USDT",
ALGO/USDT,0.6624/ 0.662 USD,-0.36 %,0.6782/0.6444,"487,696.9598 USDT",
ICP/USDT,15.24/ 15.24 USD,0.66 %,15.60/14.63,"478,050.38 USDT",
NAKA/USDT,0.253974/ 0.254 USD,-5.75 %,0.281570/0.250766,"461,144.262863 USDT",
TANK/USDT,0.049126/ 0.0491 USD,-3.57 %,0.051356/0.048408,"455,556.452452 USDT",
ZEC/USDT,146.80/ 146.78 USD,-2.13 %,151.90/143.40,"454,397.60 USDT",
ESHEESHA/USDT,83.934/ 83.92 USD,-0.44 %,86.433/82.167,"444,227.080 USDT",
VINU/USDT,0.00000002099/ &lt; 0.000001 USD,53.89 %,0.00000002523/0.00000001364,"443,155.29338044902 USDT",
VEMP/USDT,0.091377/ 0.0914 USD,-3.19 %,0.094454/0.090451,"441,325.557949 USDT",
ANKR/USDT,0.06929/ 0.0693 USD,-0.56 %,0.07447/0.06678,"441,273.02260 USDT",
1INCH/USDT,1.3120/ 1.31 USD,-0.23 %,1.3451/1.2602,"432,386.1245 USDT",
DOGEMETA/USDT,0.000017883/ 0.000018 USD,50.29 %,0.000027428/0.000011201,"427,122.187159424 USDT",
WEMP/USDT,0.0000000026715838/ 0 USD,-3.55 %,0.0000000031799988/0.0000000023456790,"426,328.7904873937569864 USDT",
GOPX/USDT,457.66/ 457.68 USD,6.48 %,458.49/428.57,"424,467.09 USDT",
