name,price,change,high_low,volume,marketcap
IMX/ Immutable ,1.67968,+1.16 %,1.74206/1.61857,"4,344,147.23","$460,966,931"
CAKE/ PancakeSwap ,7.549,-2.07 %,7.972/7.361,"4,274,960.11","$2,174,185,067"
MOVR/ Moonriver ,46.6499,-0.79 %,48.0694/45.1384,"4,184,287.74","$116,734,191"
LOOKS/ LooksRare ,1.4458,-2.66 %,1.5119/1.3818,"4,151,781.17","$355,044,736"
FTM/ Fantom ,0.98427,-1.33 %,1.01514/0.95728,"3,943,817.96","$2,504,973,324"
PYR/ Vulcan Forged ,10.058,-1.61 %,10.489/9.858,"3,903,114.52","$200,131,067"
XLM/ Stellar ,0.1845,+1.54 %,0.1868/0.1778,"3,822,305.17","$4,570,339,535"
KSM/ Kusama ,158.7,+2.24 %,163.92/152.27,"3,789,247.06","$1,344,204,553"
DYDX/ dYdX ,4.1568,-2.65 %,4.3099/3.9615,"3,656,015.00","$272,558,445"
VET/ Vechain ,0.05172,-0.88 %,0.05295/0.05034,"3,645,019.82","$3,326,401,642"
LOKA/ League of Kingdoms ,2.52137,+8.56 %,2.52137/2.20026,"3,576,467.42","$127,856,086"
CEEK/CEEK Smart VR Token,0.40999,-1.63 %,0.43621/0.405,"3,512,216.21","$305,105,017"
ENJ/ Enjin Coin ,1.2987,-0.51 %,1.3258/1.2553,"3,456,647.48","$1,140,549,126"
GARI/ GARI Network ,0.55673,+10.68 %,0.5595/0.49095,"3,208,090.11","$38,971,100"
METIS/ Metis Token ,58.429,-3.29 %,60.45/57,"3,193,671.33","$121,098,660"
SOS/ OpenDAO ,0.000000999,-4.12 %,0.00000105/0.000000958,"3,178,993.05","$38,267,544"
CELO/ CeloGold ,2.799,+2.45 %,2.814/2.642,"3,124,283.20","$1,083,524,341"
SNX/ Synthetix ,5.986,+4.77 %,5.99/5.377,"3,018,580.64","$836,918,595"
EVER/Everscale(EVER,0.3712,+2.82 %,0.3786/0.3441,"3,012,640.21",$-
NUM/Numbers Protocol,0.34715,+13.58 %,0.381779/0.295396,"2,856,358.74",$-
LTC/ Litecoin ,100.6,+0.17 %,101.95/96.2336699999,"2,826,011.61","$7,058,051,988"
RMRK/RMRK,10.8149,-3.35 %,11.3583/10.6653,"2,701,304.09","$96,252,610"
EGLD/ Elrond ,149.57,+0.78 %,152.53/143.69,"2,700,603.93","$3,262,454,493"
HNT/ Helium ,16.48,+0.85 %,16.99/15.75,"2,683,201.66","$1,168,669,378"
FTT/ FTX Token ,39.42,-0.95 %,39.86/38.3,"2,654,473.29","$5,400,230,474"
ALGO/ Algorand ,0.6637,-0.42 %,0.6782/0.643,"2,603,095.49","$4,453,312,925"
PLATO/PlatoFarm,0.027014,-3.52 %,0.03378/0.027,"2,594,278.27",$1
AXS/ Axie Infinity ,38.154,-3.39 %,40.115/37.969,"2,527,459.32","$2,323,864,755"
STX/ Stacks ,1.0451,0.00 %,1.0584/1.0101,"2,511,826.90","$1,367,925,570"
API3/ API3 ,4.039,+1.91 %,4.094/3.785,"2,485,993.15","$82,484,458"
CRO/ Crypto.com Coin ,0.39,+1.49 %,0.39/0.37588,"2,452,248.59","$8,558,986,301"
1INCH/ 1inch ,1.3208,+0.14 %,1.3462/1.2562,"2,327,379.93","$548,141,589"
BBF/Bubblefong,29.423,-5.15 %,33.5/29.4,"2,316,240.15","$1,089"
ICP/ Internet Computer ,15.22,+0.13 %,15.59/14.53,"2,298,230.46","$3,420,108,786"
THETA/ Theta ,2.7757,-1.47 %,2.8444/2.6655,"2,186,574.42","$2,775,700,000"
ONSTON/Onston,0.0951,-1.17 %,0.10104/0.09245,"2,166,850.90","$14,531,280"
KAVA/ Kava ,5.3,+2.96 %,5.3171/4.8349,"2,166,085.01","$938,892,785"
HERO/ Metahero ,0.028997,-4.22 %,0.03033/0.028635,"2,163,054.02","$147,758,368"
VLX/Velas,0.13525,-6.08 %,0.14724/0.11972,"2,162,538.16","$309,666,997"
DODO/ DODO ,0.3598,+0.36 %,0.3655/0.341,"2,146,702.47","$39,776,597"
MTRG/Meter,5.5403,-3.72 %,6.23/5.165,"2,083,286.81",$-
CHZ/ Chiliz ,0.20157,+0.68 %,0.20571/0.19269,"2,058,918.52","$1,209,496,387"
TLOS/Telos,0.5773,+0.80 %,0.5774/0.5559,"2,034,966.58","$155,942,264"
USDT/Tether,1.0003,0.00 %,1.0003/1.0001,"2,006,918.60",$-
GMM/Gamium,0.010402,+4.23 %,0.01052348/0.00901,"1,979,695.15","$43,365,179"
UFO/UFO Gaming,0.000006192,-2.74 %,0.000006502/0.000006004,"1,928,620.49","$159,490,909"
HT/ HuobiToken ,9.3116,+1.62 %,9.3442/9.0511,"1,868,282.58","$1,542,152,869"
BLOK/ Bloktopia ,0.01309,+0.69 %,0.01346/0.0127,"1,845,401.02","$109,153,639"
