name,price,change,high_low,volume,marketcap
STEP/USDT,0.02600/ 0.0260 USD,-1.07 %,0.03279/0.01652,"866,986.84580 USDT",
FIL/USDT,17.5400/ 17.54 USD,-1.68 %,18.0000/17.0091,"864,817.7605 USDT",
SG/USDT,0.1869/ 0.187 USD,2.81 %,0.2117/0.1704,"814,058.0702 USDT",
MVP/USDT,0.02032/ 0.0203 USD,2.11 %,0.02049/0.01920,"791,261.84354 USDT",
BNT/USDT,2.139001/ 2.14 USD,0.99 %,2.154001/2.055000,"790,591.988178 USDT",
AR/USDT,26.3400/ 26.34 USD,4.23 %,28.2000/24.8100,"780,786.1881 USDT",
CAKE/USDT,7.4660/ 7.47 USD,-3.20 %,7.8440/7.3650,"776,076.7079 USDT",
IHC/USDT,0.00027655/ 0.000277 USD,-10.43 %,0.00031526/0.00027604,"775,024.01079256 USDT",
ILV/USDT,482.00/ 482.05 USD,-2.47 %,495.30/466.10,"745,198.39 USDT",
OKB/USDT,19.5470/ 19.55 USD,-0.69 %,19.9000/19.2340,"716,584.9335 USDT",
FTB/USDT,0.05888/ 0.0589 USD,0.14 %,0.05919/0.05874,"692,424.52921 USDT",
VOLT/USDT,0.0000028999/ 0.000003 USD,4.67 %,0.0000031500/0.0000023732,"682,009.4865051110 USDT",
NEOM/USDT,24.89987083/ 24.9 USD,-0.40 %,25.02999979/24.69127608,"650,346.46342262 USDT",
GSX/USDT,0.0218/ 0.0218 USD,-6.03 %,0.0234/0.0214,"639,753.6503 USDT",
10SET/USDT,2.432/ 2.43 USD,-2.95 %,2.506/2.409,"639,533.665 USDT",
RISE/USDT,0.00102521/ 0.00103 USD,-3.91 %,0.00114912/0.00092400,"626,181.22756944 USDT",
CULT/USDT,0.00001819/ 0.000018 USD,-2.26 %,0.00002149/0.00001778,"610,299.61047844 USDT",
ETC/USDT,30.8400/ 30.83 USD,-1.50 %,31.6600/29.9658,"609,019.1866 USDT",
FTT/USDT,39.2200/ 39.22 USD,-1.21 %,39.8300/38.3835,"608,975.2246 USDT",
HT/USDT,9.3246/ 9.32 USD,1.55 %,9.3672/9.0708,"602,391.6324 USDT",
ALPINE/USDT,5.7814/ 5.78 USD,6.21 %,6.2938/5.2072,"594,267.6536 USDT",
NEO/USDT,18.741/ 18.74 USD,-1.05 %,19.190/18.310,"589,397.293 USDT",
C98/USDT,1.287/ 1.29 USD,-3.88 %,1.348/1.272,"566,840.772 USDT",
YGG/USDT,1.7360/ 1.74 USD,-0.46 %,1.7920/1.6579,"561,140.5180 USDT",
RTC/USDT,0.003055/ 0.00306 USD,0.39 %,0.003130/0.002601,"536,382.593128 USDT",
XLM/USDT,0.18401682/ 0.184 USD,0.94 %,0.18670000/0.17778222,"531,423.38668522 USDT",
DEP/USDT,0.0214/ 0.0214 USD,0.47 %,0.0222/0.0207,"523,733.1652 USDT",
CELR/USDT,0.042590/ 0.0426 USD,0.00 %,0.043900/0.040912,"521,742.023742 USDT",
CMCX/USDT,0.014060/ 0.0141 USD,-0.49 %,0.014185/0.014052,"515,464.103530 USDT",
MESA/USDT,0.02592/ 0.0259 USD,-26.59 %,0.03690/0.02353,"514,644.75262 USDT",
ROCKI/USDT,0.102239/ 0.102 USD,0.01 %,0.104309/0.099508,"510,829.339664 USDT",
ELU/USDT,0.135967/ 0.136 USD,36.88 %,0.162924/0.089772,"506,314.298276 USDT",
THETA/USDT,2.7580/ 2.76 USD,-1.36 %,2.8430/2.6790,"506,274.4880 USDT",
SWARM/USDT,0.0003707/ 0.000371 USD,-0.32 %,0.0003732/0.0003686,"500,586.0505030 USDT",
SKEY/USDT,0.032722/ 0.0327 USD,0.89 %,0.032904/0.031685,"499,616.467512 USDT",
WAVES/USDT,15.7700/ 15.77 USD,1.28 %,16.8500/14.8000,"490,332.9210 USDT",
ALGO/USDT,0.6601/ 0.660 USD,-0.87 %,0.6782/0.6444,"484,209.2198 USDT",
ICP/USDT,15.23/ 15.23 USD,0.46 %,15.60/14.63,"481,761.31 USDT",
NAKA/USDT,0.254087/ 0.254 USD,-6.11 %,0.281570/0.250766,"466,035.996097 USDT",
TANK/USDT,0.048971/ 0.0490 USD,-4.43 %,0.051356/0.048408,"454,879.841660 USDT",
VINU/USDT,0.00000002155/ &lt; 0.000001 USD,57.99 %,0.00000002523/0.00000001364,"454,098.21131726178 USDT",
ZEC/USDT,146.30/ 146.28 USD,-2.92 %,151.90/143.40,"453,836.87 USDT",
VEMP/USDT,0.091199/ 0.0912 USD,-3.40 %,0.094454/0.090451,"445,652.917021 USDT",
ESHEESHA/USDT,83.579/ 83.57 USD,-0.67 %,86.433/82.167,"444,726.282 USDT",
ANKR/USDT,0.06920/ 0.0692 USD,-0.16 %,0.07447/0.06678,"437,941.34468 USDT",
1INCH/USDT,1.3110/ 1.31 USD,-0.53 %,1.3451/1.2602,"432,114.4699 USDT",
WEMP/USDT,0.0000000026670108/ 0 USD,-2.96 %,0.0000000031749975/0.0000000023456790,"425,003.4207455561288410 USDT",
AFIN/USDT,0.03203/ 0.0320 USD,5.71 %,0.03205/0.02973,"424,229.62406 USDT",
GOPX/USDT,457.63/ 457.68 USD,6.49 %,458.49/428.57,"417,371.78 USDT",
DOGEMETA/USDT,0.000018326/ 0.000018 USD,40.99 %,0.000027428/0.000011201,"417,106.507604098 USDT",
FLOKI/USDT,0.00002038/ 0.000020 USD,-1.36 %,0.00002141/0.00001976,"402,138.82420790 USDT",
CSPR/USDT,0.069699/ 0.0697 USD,-2.11 %,0.071400/0.068100,"400,921.128217 USDT",
HBAR/USDT,0.1672/ 0.167 USD,-2.51 %,0.1741/0.1640,"399,639.3992 USDT",
KTX/USDT,0.13324/ 0.133 USD,-5.87 %,0.14514/0.13010,"398,403.10573 USDT",
SRM/USDT,2.1160/ 2.12 USD,-0.80 %,2.1760/2.0710,"391,510.7886 USDT",
SFM/USDT,0.000684/ 0.000684 USD,4.11 %,0.000773/0.000570,"389,706.092038 USDT",
SMILE/USDT,0.001664/ 0.00166 USD,9.62 %,0.001715/0.001436,"380,903.508122 USDT",
XCN/USDT,0.08746/ 0.0875 USD,-3.17 %,0.09243/0.08334,"373,332.98060 USDT",
DYDX/USDT,4.1110/ 4.11 USD,-3.45 %,4.2910/3.9910,"366,077.8902 USDT",
MVG/USDT,0.00165/ 0.00165 USD,-8.84 %,0.00181/0.00162,"362,443.82892 USDT",
UFO/USDT,0.000006132/ 0.000006 USD,-5.40 %,0.000006971/0.000006118,"362,141.703131214 USDT",
FRONT/USDT,0.4565/ 0.457 USD,-1.10 %,0.4644/0.4489,"360,926.4946 USDT",
SYP/USDT,0.011850/ 0.0118 USD,-2.39 %,0.012570/0.011251,"356,905.685669 USDT",
LOKA/USDT,2.4446/ 2.44 USD,5.89 %,2.5395/2.2068,"355,836.9255 USDT",
APP/USDT,0.002893/ 0.00289 USD,28.52 %,0.004139/0.002189,"355,744.711639 USDT",
IMX/USDT,1.6640/ 1.66 USD,0.18 %,1.7370/1.6240,"355,689.8667 USDT",
CELO/USDT,2.7620/ 2.76 USD,0.36 %,2.8090/2.6510,"355,429.0564 USDT",
AMP/USDT,0.021990/ 0.0220 USD,3.29 %,0.023181/0.020550,"351,281.738881 USDT",
RBIF/USDT,0.00000000036147/ 0 USD,2.37 %,0.00000000039300/0.00000000035002,"351,015.80822613911192 USDT",
SUSHI/USDT,2.951/ 2.95 USD,-2.54 %,3.043/2.860,"348,469.921 USDT",
BABYDOGE/USDT,0.000000002236/ 0 USD,-4.44 %,0.000000002499/0.000000002101,"348,318.374031352260 USDT",
THN/USDT,0.0420/ 0.0420 USD,-1.87 %,0.0447/0.0401,"345,614.9823 USDT",
RCG/USDT,1.908/ 1.91 USD,2.42 %,1.940/1.842,"335,893.197 USDT",
AMPT/USDT,0.200/ 0.200 USD,-9.50 %,0.227/0.192,"330,340.354 USDT",
PKR/USDT,0.0334/ 0.0334 USD,-0.30 %,0.0367/0.0325,"329,458.9358 USDT",
